,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,year,income
0,0,0,0,1970,3399.299037
1,1,1,1,1971,3768.297935
2,2,2,2,1972,4251.175484
3,3,3,3,1973,4804.463248
4,4,4,4,1974,5576.514583
5,5,5,5,1975,5998.144346
6,6,6,6,1976,7062.131392
7,7,7,7,1977,7100.12617
8,8,8,8,1978,7247.967035
9,9,9,9,1979,7602.912681
10,10,10,10,1980,8355.96812
11,11,11,11,1981,9434.390652
12,12,12,12,1982,9619.438377
13,13,13,13,1983,10416.53659
14,14,14,14,1984,10790.32872
15,15,15,15,1985,11018.95585
16,16,16,16,1986,11482.89153
17,17,17,17,1987,12974.80662
18,18,18,18,1988,15080.28345
19,19,19,19,1989,16426.72548
20,20,20,20,1990,16838.6732
21,21,21,21,1991,17266.09769
22,22,22,22,1992,16412.08309
23,23,23,23,1993,15875.58673
24,24,24,24,1994,15755.82027
25,25,25,25,1995,16369.31725
26,26,26,26,1996,16699.82668
27,27,27,27,1997,17310.75775
28,28,28,28,1998,16622.67187
29,29,29,29,1999,17581.02414
30,30,30,30,2000,18987.38241
31,31,31,31,2001,18601.39724
32,32,32,32,2002,19232.17556
33,33,33,33,2003,22739.42628
34,34,34,34,2004,25719.14715
35,35,35,35,2005,29198.05569
36,36,36,36,2006,32738.2629
37,37,37,37,2007,36144.48122
38,38,38,38,2008,37446.48609
39,39,39,39,2009,32755.17682
40,40,40,40,2010,38420.52289
41,41,41,41,2011,42334.71121
42,42,42,42,2012,42665.25597
43,43,43,43,2013,42676.46837
44,44,44,44,2014,41039.8936
45,45,45,45,2015,35175.18898
46,46,46,46,2016,34229.19363
47,47,47,47,2017,39150.72056507645
48,48,48,48,2018,39990.04256830923
49,49,49,49,2019,40829.364571542246
50,50,50,50,2020,41668.68657477526
51,51,51,51,2021,42508.00857800804
52,52,52,52,2022,43347.330581241054
